email,order_entered,capacity,current_temperature_setting,energy_source
cpaulas@warephase.com,3,21.5,196,electric
cperez@singletechno.com,2,75.5,NULL,electric
cperin@zoomit.com,3,67.3,206,thermosolar
cperruzza@newex.com,1,91.1,140,electric
cplumer@fasehatice.com,1,13.6,105,electric
cplumer@nam-zim.com,1,51.1,NULL,gas
cpontoriero@groovestreet.com,9,15.0,101,thermosolar
cpontoriero@konmatfix.com,2,60.6,102,electric
cpontoriero@konmatfix.com,3,12.7,174,gas
cpoquette@kan-code.com,2,14.3,NULL,gas
cpoullion@isdom.com,3,27.7,NULL,electric
cragel@dambase.com,1,17.4,105,electric
crauser@bioholding.com,1,60.0,124,heat pump
crauser@bioholding.com,3,10.8,195,gas
cregusters@ontomedia.com,1,19.1,91,gas
cregusters@ontomedia.com,2,18.5,104,electric
cregusters@ontomedia.com,4,17.7,NULL,electric
creiber@sumace.com,1,52.2,116,heat pump
creiber@xx-holding.com,4,95.6,113,electric
creiber@zotware.com,1,18.8,190,electric
creiber@zotware.com,3,92.4,94,thermosolar
creitler@donware.com,1,25.1,NULL,electric
crestrepo@j-texon.com,3,59.0,167,electric
crhoden@cancity.com,1,24.7,112,electric
crhoden@funholding.com,4,32.8,NULL,electric
criden@streethex.com,1,47.6,120,gas
crim@bioholding.com,1,29.4,107,gas
crim@bioholding.com,4,81.7,234,electric
crim@bioholding.com,6,36.7,99,electric
crowling@year-job.com,2,11.5,194,gas
cryser@zathunicon.com,3,85.7,100,electric
csama@green-plus.com,4,48.8,NULL,gas
csamara@doncon.com,2,57.0,167,gas
csamu@isdom.com,4,50.8,166,gas
csamu@isdom.com,5,19.4,119,electric
csawchuk@konex.com,1,76.7,NULL,thermosolar
cschieler@blackzim.com,1,11.1,115,gas
cschieler@blackzim.com,2,27.3,135,gas
cschieler@xx-zobam.com,1,42.0,NULL,gas
cshields@lexiqvolax.com,2,29.5,145,thermosolar
cshin@openlane.com,3,37.7,230,heat pump
cshinko@dontechi.com,1,28.4,NULL,gas
cskursky@nam-zim.com,2,69.1,138,thermosolar
cskursky@nam-zim.com,5,59.3,96,heat pump
cslayton@stanredtax.com,3,10.2,111,electric
cstockham@green-plus.com,1,36.6,103,electric
cstoltzman@konex.com,2,33.2,180,gas
csuell@blackzim.com,1,87.5,163,gas
cswayze@lexiqvolax.com,3,105.5,179,gas
csweigard@xx-holding.com,1,33.6,210,electric
csweigard@xx-holding.com,3,49.1,188,gas
ctjepkema@condax.com,2,54.3,180,electric
ctjepkema@ron-tech.com,1,24.8,117,gas
ctoyama@treequote.com,4,57.6,141,gas
ctreston@betasoloin.com,1,11.4,113,electric
ctreston@betasoloin.com,2,20.1,NULL,heat pump
ctromblay@funholding.com,3,45.6,187,electric
cuyetake@hottechi.com,3,17.1,112,electric
cvanausdal@domzoom.com,4,71.6,105,gas
cvanausdal@domzoom.com,9,53.7,126,gas
cwalthall@ontomedia.com,4,22.7,102,electric
cweglarz@konex.com,4,40.3,248,thermosolar
cwesterbeck@silis.com,2,63.8,92,electric
cwesterbeck@silis.com,6,96.8,105,electric
cwide@sonron.com,1,35.0,NULL,electric
cwolfgramm@donquadtech.com,2,18.7,NULL,thermosolar
cwolfgramm@groovestreet.com,4,44.4,107,gas
cwolny@conecom.com,3,41.0,101,electric
cworlds@xx-zobam.com,1,78.5,117,electric
cworlds@xx-zobam.com,3,54.0,141,electric
cyaw@xx-holding.com,1,62.8,95,electric
dangalich@silis.com,3,49.3,110,electric
dankeny@openlane.com,1,78.9,131,heat pump
dbarfield@ganjaflex.com,2,12.2,97,thermosolar
dbennick@zotware.com,1,26.4,101,electric
dbennick@zotware.com,3,11.4,117,electric
dbennick@zotware.com,7,75.0,107,gas
dbennick@zotware.com,9,63.2,119,gas
dblackwood@toughzap.com,1,82.3,230,thermosolar
dblunk@sonron.com,1,49.6,126,gas
dborgman@y-corporation.com,3,59.5,150,gas
dborgman@y-corporation.com,6,52.1,NULL,thermosolar
dbourbon@groovestreet.com,1,63.1,130,electric
dbourbon@plusstrip.com,1,15.6,109,electric
dbourbon@plusstrip.com,2,15.1,114,electric
dbourbon@plusstrip.com,4,84.6,94,electric
dbowley@warephase.com,2,44.7,171,gas
dbowley@warephase.com,4,56.6,NULL,electric
dbrachle@fasehatice.com,1,62.8,131,electric
dbrachle@stanredtax.com,5,41.0,108,electric
dbrachle@stanredtax.com,6,15.4,119,thermosolar
dbrachle@stanredtax.com,7,66.7,121,gas
dbreland@inity.com,2,11.2,133,electric
dbriddick@yearin.com,1,54.9,200,thermosolar
dbrossart@faxquote.com,1,58.8,103,electric
dbrossart@faxquote.com,5,45.0,134,thermosolar
dburnard@scottech.com,2,47.2,103,electric
dburnard@zathunicon.com,1,14.9,141,gas
dbuvens@iselectrics.com,1,63.3,NULL,thermosolar
dbuvens@iselectrics.com,2,10.8,213,heat pump
dbuvens@rangreen.com,2,54.5,145,gas
dcaiafa@ganjaflex.com,1,31.2,198,heat pump
dcaldarera@isdom.com,2,10.6,98,electric
dcalvaresi@statholdings.com,1,42.2,108,gas
dcanlas@konex.com,2,50.7,95,thermosolar
dcanlas@konex.com,3,113.4,NULL,gas
dcartan@plexzap.com,2,36.5,NULL,electric
dchavous@statholdings.com,1,20.3,106,electric
dcolla@ron-tech.com,3,16.1,107,electric
dcomnick@finhigh.com,2,55.8,137,heat pump
dcomnick@finhigh.com,6,18.6,117,gas
dcousey@blackzim.com,2,11.1,122,gas
dcousey@finjob.com,3,19.7,90,electric
dcoyier@zathunicon.com,2,56.2,NULL,electric
dcoyier@zathunicon.com,3,77.2,128,gas
dcoyier@zathunicon.com,4,36.1,153,gas
dcronauer@finjob.com,1,11.6,NULL,electric
dcrupi@ontomedia.com,6,16.8,175,electric
dcryer@inity.com,3,14.6,106,electric
ddarakjy@cancity.com,1,14.4,198,electric
ddegonia@silis.com,2,56.4,98,electric
ddelasancha@funholding.com,3,32.7,108,electric
ddewar@sunnamplex.com,1,43.8,122,electric
ddilliard@konmatfix.com,2,45.5,137,electric
ddiscipio@j-texon.com,4,128.7,246,gas
ddubaldi@statholdings.com,1,75.3,113,gas
demard@scotfind.com,2,18.5,138,heat pump
dengelberg@rangreen.com,1,39.5,219,electric
dengelberg@rangreen.com,3,12.5,NULL,gas
dfallick@toughzap.com,1,19.6,NULL,thermosolar
dfarrow@domzoom.com,1,19.1,128,heat pump
dfarrow@domzoom.com,3,84.1,141,electric
dfeichtner@toughzap.com,5,23.0,NULL,gas
dfelger@y-corporation.com,4,16.8,118,gas
dfelger@y-corporation.com,9,15.0,113,thermosolar
dfelger@y-corporation.com,12,13.1,182,electric
dfelger@y-corporation.com,14,34.0,211,electric
dfigeroa@j-texon.com,2,27.3,193,electric
dfigeroa@j-texon.com,3,21.1,133,electric
dflosi@konmatfix.com,1,109.5,94,gas
dflosi@konmatfix.com,3,54.5,103,electric
dgibes@gogozoom.com,1,17.1,102,electric
dgibes@y-corporation.com,1,23.2,123,gas
dgibes@y-corporation.com,2,107.1,130,gas
dgibes@y-corporation.com,3,64.9,102,gas
dgillaspie@lexiqvolax.com,1,17.5,95,electric
dgillian@faxquote.com,1,65.4,199,gas
dgleich@sumace.com,3,15.2,93,thermosolar
dgleich@sumace.com,6,15.8,116,electric
dgochal@bioholding.com,1,13.9,105,gas
dgoldammer@statholdings.com,3,68.0,101,electric
dgoldammer@statholdings.com,4,57.6,178,electric
dgotter@donware.com,1,27.7,NULL,electric
dharnos@rantouch.com,2,43.9,160,thermosolar
dharnos@rantouch.com,3,29.1,101,electric
dharnos@rantouch.com,5,64.3,NULL,electric
dharnos@xx-holding.com,3,17.4,NULL,thermosolar
dharoldson@fasehatice.com,1,53.5,90,gas
dhidvegi@konmatfix.com,6,61.2,112,gas
diturbide@ganjaflex.com,3,69.8,107,gas
diturbide@isdom.com,3,73.2,101,gas
djeanty@plusstrip.com,1,97.3,90,gas
djeanty@plusstrip.com,3,52.5,133,thermosolar
djulia@zathunicon.com,3,10.3,NULL,electric
djulia@zathunicon.com,4,82.6,114,thermosolar
djurney@labdrill.com,2,41.2,118,electric
djuvera@xx-zobam.com,3,32.4,173,thermosolar
djuvera@zencorporation.com,2,11.3,100,thermosolar
dkarpel@rantouch.com,2,13.5,139,heat pump
dkarpel@rantouch.com,4,31.4,163,gas
dkines@sunnamplex.com,1,82.1,NULL,electric
dkippley@plexzap.com,3,24.6,118,thermosolar
dkippley@plexzap.com,5,98.0,110,electric
dkippley@plexzap.com,6,77.6,116,electric
dkoppinger@blackzim.com,2,81.5,NULL,electric
dkoppinger@condax.com,2,12.1,141,electric
dkoppinger@condax.com,3,29.9,105,electric
dkulzer@rundofase.com,1,101.7,96,electric
dlapage@bioplex.com,3,11.6,130,electric
dlapage@bioplex.com,4,59.8,112,electric
dleinenbach@zumgoity.com,5,23.1,102,electric
dleinenbach@zumgoity.com,7,30.4,227,thermosolar
dlipke@blackzim.com,2,51.5,123,electric
dlizama@funholding.com,3,17.7,116,electric
dlother@konmatfix.com,2,14.1,175,gas
dlother@lexiqvolax.com,1,87.3,110,electric
dmaclead@zathunicon.com,2,44.1,NULL,electric
dmaile@conecom.com,2,94.8,146,gas
dmaisto@stanredtax.com,3,62.2,NULL,electric
dmaisto@toughzap.com,1,49.4,137,electric
dmalvin@conecom.com,4,13.2,147,thermosolar
dmalvin@domzoom.com,1,25.3,NULL,electric
dmalvin@domzoom.com,2,114.7,150,electric
dmalvin@openlane.com,3,77.4,168,gas
dmarrier@newex.com,3,13.6,156,electric
dmarrier@newex.com,4,30.3,153,heat pump
dmaynerich@xx-zobam.com,6,42.6,172,gas
dmcnease@xx-holding.com,2,19.1,117,gas
dmeinerding@toughzap.com,7,17.7,146,thermosolar
dmiceli@treequote.com,3,17.5,141,heat pump
dmondella@ron-tech.com,1,16.2,156,electric
dmorocco@faxquote.com,6,33.6,155,thermosolar
dnabours@year-job.com,2,96.5,120,electric
dneither@funholding.com,1,16.5,168,gas
dnunlee@isdom.com,4,32.1,145,electric
dnunlee@isdom.com,5,40.7,119,electric
dogg@year-job.com,1,30.5,167,thermosolar
dpaa@labdrill.com,2,40.8,101,thermosolar
dpagliuca@stanredtax.com,5,12.9,134,gas
dperruzza@scotfind.com,1,53.3,90,thermosolar
dperruzza@scotfind.com,2,30.5,105,electric
drauser@treequote.com,1,47.3,145,gas
draymo@betatech.com,3,14.6,104,electric
dregusters@donquadtech.com,1,17.0,NULL,heat pump
dregusters@donquadtech.com,3,15.5,110,gas
drim@zathunicon.com,1,14.1,205,thermosolar
drochin@j-texon.com,2,10.8,137,gas
drodefer@fasehatice.com,2,57.2,135,electric
drodefer@fasehatice.com,3,78.4,105,electric
dryser@zoomit.com,3,18.0,90,gas
dsamara@finhigh.com,2,12.2,134,electric
dschemmer@streethex.com,1,33.3,NULL,electric
dschmaltz@donware.com,2,39.6,103,electric
dschmaltz@donware.com,3,12.9,NULL,gas
dscipione@labdrill.com,1,11.4,160,thermosolar
dscipione@labdrill.com,4,26.1,109,electric
dsengbusch@mathtouch.com,1,27.3,197,electric
dshealy@doncon.com,3,36.4,133,heat pump
dshinko@ontomedia.com,1,12.7,104,electric
dskursky@conecom.com,4,46.1,222,gas
dslayton@xx-holding.com,3,15.7,117,gas
dspickerman@fasehatice.com,1,75.9,100,gas
dsteffensmeier@cancity.com,2,35.8,111,gas
dstem@y-corporation.com,1,57.1,NULL,electric
dstimmel@isdom.com,2,16.1,NULL,electric
dtagala@rantouch.com,1,51.2,160,electric
dtagala@y-corporation.com,1,72.8,117,electric
dtollner@xx-zobam.com,3,37.4,105,heat pump
dtomasulo@toughzap.com,3,49.9,229,electric
dtomasulo@toughzap.com,5,35.4,228,electric
dturinetti@conecom.com,2,110.4,100,thermosolar
dturinetti@conecom.com,4,15.2,119,gas
dturinetti@conecom.com,8,52.6,93,electric
dturinetti@kan-code.com,1,20.3,270,gas
dvarriano@dalttechnology.com,1,50.7,112,electric
dvinning@dambase.com,1,24.1,169,thermosolar
dwardrip@inity.com,5,37.1,149,electric
dwaymire@hatfan.com,1,30.0,140,electric
dwaymire@hatfan.com,3,21.3,166,thermosolar
dwenner@dambase.com,1,74.2,96,electric
dwenner@dambase.com,5,14.5,119,electric
dwenner@dambase.com,6,112.9,NULL,thermosolar
dwenner@mathtouch.com,1,13.4,91,electric
dwiklund@kinnamplus.com,5,27.9,112,gas
dwiklund@xx-holding.com,1,68.7,187,electric
dyaw@treequote.com,1,37.4,140,electric
dyglesias@opentech.com,1,24.3,NULL,electric
dyori@ganjaflex.com,1,15.8,98,heat pump
dzurcher@plexzap.com,3,40.3,129,thermosolar
dzurcher@rundofase.com,1,29.2,271,gas
dzurcher@rundofase.com,2,17.2,138,thermosolar
dzurcher@rundofase.com,4,70.5,115,thermosolar
eagramonte@openlane.com,4,55.4,NULL,electric
ealbares@stanredtax.com,3,55.0,120,electric
eamyot@sumace.com,1,19.4,126,gas
eamyot@sumace.com,2,21.2,197,gas
eamyot@sumace.com,6,107.0,NULL,electric
earceo@kan-code.com,1,42.5,171,electric
ebaltimore@labdrill.com,2,49.1,108,thermosolar
ebirkner@conecom.com,3,72.9,163,electric
ebitsuie@labdrill.com,1,29.0,162,electric
ebitsuie@labdrill.com,4,64.4,151,heat pump
eblackwood@domzoom.com,1,36.4,96,electric
eblackwood@domzoom.com,2,26.1,NULL,electric
eblackwood@domzoom.com,3,67.8,NULL,electric
eblunk@cancity.com,3,43.7,123,gas
eblunk@cancity.com,4,80.8,124,gas
eblunk@plusstrip.com,2,10.3,147,electric
eblunk@plusstrip.com,5,24.5,148,heat pump
eblunk@plusstrip.com,10,37.1,91,gas
ebriddick@ontomedia.com,3,62.0,NULL,electric
ebuemi@plussunin.com,1,10.2,190,gas
ecantres@blackzim.com,1,14.1,NULL,gas
ecantres@blackzim.com,2,36.1,221,heat pump
ecartan@labdrill.com,3,27.1,128,electric
ecoody@treequote.com,2,32.9,161,electric
ecorrington@opentech.com,1,36.4,271,gas
ecorrio@rundofase.com,3,63.7,208,heat pump
ecoyier@dontechi.com,2,94.8,100,electric
ecoyier@dontechi.com,3,48.8,141,thermosolar
edarakjy@faxquote.com,1,49.6,164,electric
edelasancha@betatech.com,2,76.8,173,gas
edeleo@kan-code.com,2,61.2,115,electric
edemesa@labdrill.com,2,52.2,104,heat pump
edilello@doncon.com,2,89.0,135,thermosolar
edubaldi@zumgoity.com,1,15.0,NULL,thermosolar
edubaldi@zumgoity.com,3,21.0,196,heat pump
eduenas@bioplex.com,1,77.6,188,gas
eeanes@faxquote.com,2,13.5,157,electric
eeroman@yearin.com,3,54.7,201,electric
efarrar@fasehatice.com,1,96.2,101,electric
efeichtner@rangreen.com,1,28.2,104,gas
efillingim@codehow.com,6,36.1,124,electric
efrancescon@rundofase.com,1,25.5,108,electric
efrancescon@rundofase.com,4,16.2,101,gas
efredicks@zencorporation.com,1,71.6,105,electric
egato@streethex.com,2,76.5,126,gas
egudroe@green-plus.com,1,32.9,145,electric
egudroe@green-plus.com,2,44.0,129,heat pump
egudroe@green-plus.com,3,47.5,NULL,electric
eharoldson@treequote.com,1,80.3,261,electric
ehengel@streethex.com,1,61.7,100,electric
ehollack@doncon.com,2,75.5,204,gas
ehudnall@hottechi.com,1,84.6,114,electric
ehudnall@hottechi.com,3,31.6,119,heat pump
ejayson@stanredtax.com,3,20.5,97,thermosolar
ejeanty@donquadtech.com,1,75.2,NULL,gas
ejeanty@donquadtech.com,2,68.7,157,electric
ejeanty@donware.com,1,29.7,98,electric
ejeanty@donware.com,4,17.9,130,electric
ejeanty@donware.com,5,18.6,113,electric
ejeanty@donware.com,6,25.8,105,heat pump
ejeanty@donware.com,7,46.9,135,electric
ejurney@zotware.com,1,11.4,139,electric
ekaniecki@plexzap.com,3,66.4,175,heat pump
ekeneipp@sunnamplex.com,3,11.5,NULL,electric
ekolmetz@konex.com,4,100.3,166,electric
ekolmetz@konex.com,6,21.6,132,gas
ekonopacki@rangreen.com,4,125.5,191,gas
ekownacki@donquadtech.com,1,12.1,106,electric
ekulzer@toughzap.com,2,28.5,114,electric
elacovara@ron-tech.com,1,36.1,95,gas
elacovara@ron-tech.com,2,61.8,143,gas
elacovara@ron-tech.com,3,51.3,129,electric
elapage@mathtouch.com,1,58.4,NULL,electric
elipke@blackzim.com,3,41.7,116,gas
eloder@domzoom.com,3,47.0,177,electric
elorens@hatfan.com,4,96.3,156,gas
ementer@zumgoity.com,2,18.2,106,gas
ementer@zumgoity.com,3,36.7,NULL,gas
emodzelewski@donquadtech.com,3,82.1,100,gas
emoyd@dambase.com,1,39.6,143,thermosolar
emoyd@dambase.com,2,30.6,168,thermosolar
enievas@rundofase.com,2,33.0,180,electric
enunlee@dalttechnology.com,5,51.1,104,thermosolar
eoldroyd@dalttechnology.com,3,44.6,NULL,gas
epaa@zumgoity.com,1,15.3,114,electric
eperez@goodsilron.com,1,43.6,107,electric
eperez@goodsilron.com,2,87.5,101,electric
eperez@goodsilron.com,3,48.7,101,thermosolar
eperez@newex.com,2,16.2,124,gas
eperigo@iselectrics.com,1,45.2,130,electric
eperin@fasehatice.com,2,34.9,104,thermosolar
eperin@fasehatice.com,4,37.7,145,gas
eperin@golddex.com,2,11.5,113,electric
eplumer@kinnamplus.com,1,11.0,117,electric
epolidori@rantouch.com,1,60.4,133,thermosolar
epolidori@rantouch.com,4,57.6,107,electric
epontoriero@rundofase.com,1,12.7,100,heat pump
epontoriero@rundofase.com,2,39.2,NULL,electric
ereiber@zathunicon.com,4,76.5,218,electric
erentfro@codehow.com,2,19.2,116,gas
erhymes@faxquote.com,2,83.9,115,heat pump
erodeigues@toughzap.com,1,13.6,157,gas
erodeigues@toughzap.com,2,70.3,92,gas
erowling@xx-holding.com,1,15.9,152,electric
erulapaugh@dontechi.com,1,63.0,109,gas
erulapaugh@dontechi.com,2,38.0,92,gas
erulapaugh@groovestreet.com,3,15.6,119,heat pump
erulapaugh@silis.com,1,45.3,93,electric
erulapaugh@silis.com,4,16.6,NULL,gas
erulapaugh@silis.com,5,31.3,90,electric
erulapaugh@silis.com,7,54.1,134,electric
esamara@xx-holding.com,1,39.1,118,gas
esamara@xx-holding.com,2,13.4,114,electric
esaras@fasehatice.com,2,100.2,98,thermosolar
esaras@funholding.com,3,35.8,109,electric
esaras@funholding.com,4,10.7,101,electric
esaulter@iselectrics.com,2,59.9,101,electric
eschemmer@zoomit.com,1,60.0,194,electric
eschieler@y-corporation.com,2,25.4,NULL,electric
eschieler@y-corporation.com,3,48.0,194,electric
eschoeneck@warephase.com,1,14.2,NULL,gas
esemidey@dontechi.com,5,64.4,138,gas
esengbusch@betasoloin.com,4,27.5,196,electric
espickerman@gogozoom.com,6,16.1,NULL,thermosolar
estaback@silis.com,2,22.8,NULL,thermosolar
estaback@stanredtax.com,2,81.3,163,thermosolar
estem@zoomit.com,3,13.7,119,gas
estenseth@statholdings.com,3,13.9,146,electric
ethyberg@rangreen.com,1,11.0,100,electric
ethyberg@xx-zobam.com,6,61.4,195,electric
etoelkes@kinnamplus.com,1,42.2,165,gas
etolfree@treequote.com,3,28.4,139,gas
etollner@opentech.com,3,12.3,108,electric
evarriano@nam-zim.com,1,17.3,173,gas
evarriano@nam-zim.com,2,15.6,185,electric
evillanueva@hottechi.com,1,40.0,125,gas
evocelka@opentech.com,3,29.9,193,electric
ewalthall@betasoloin.com,3,16.4,92,thermosolar
ewardrip@ontomedia.com,3,18.7,NULL,electric
ewaymire@singletechno.com,2,13.7,104,electric
eyaw@treequote.com,2,83.0,NULL,thermosolar
ezane@labdrill.com,4,103.8,113,gas
farceo@bioplex.com,2,42.1,113,thermosolar
fbartolet@rundofase.com,3,15.4,114,gas
fbrossart@toughzap.com,2,48.2,94,electric
fcallaro@groovestreet.com,1,14.4,115,gas
fcaudy@newex.com,1,30.0,105,electric
fcaudy@newex.com,4,16.3,153,electric
fcetta@lexiqvolax.com,1,51.1,146,gas
fchaffins@xx-holding.com,3,27.1,125,gas
fcloney@rantouch.com,2,37.7,157,electric
fcolaizzo@green-plus.com,1,73.2,205,gas
fcomnick@plusstrip.com,1,21.2,96,electric
fcomnick@plusstrip.com,2,86.2,NULL,electric
fcomnick@plusstrip.com,4,19.1,225,electric
fdegonia@blackzim.com,1,75.3,97,gas
fdenooyer@newex.com,2,50.3,207,thermosolar
fdenooyer@newex.com,4,29.1,118,gas
fdrymon@statholdings.com,1,63.6,248,electric
fennaco@toughzap.com,2,10.4,NULL,thermosolar
fennaco@toughzap.com,3,24.9,117,heat pump
feroman@newex.com,3,49.1,113,electric
feschberger@fasehatice.com,1,18.4,97,electric
ffigeroa@lexiqvolax.com,4,13.6,NULL,electric
ffigeroa@lexiqvolax.com,5,86.0,112,heat pump
ffrankel@green-plus.com,1,15.4,128,electric
ffrankel@green-plus.com,3,73.1,116,electric
ffunnell@j-texon.com,1,19.8,97,gas
fgabisi@ontomedia.com,4,21.0,188,electric
fgood@mathtouch.com,3,12.0,120,thermosolar
fgood@mathtouch.com,5,18.1,211,electric
fgrenet@konmatfix.com,3,48.2,NULL,electric
fharabedian@funholding.com,1,72.1,197,gas
fharabedian@funholding.com,4,16.0,NULL,thermosolar
fharabedian@xx-zobam.com,2,11.2,156,gas
fhaufler@donquadtech.com,1,16.0,136,electric
fhaufler@donquadtech.com,2,45.8,NULL,gas
fherritt@singletechno.com,3,33.0,256,thermosolar
fhollack@sonron.com,3,42.7,117,thermosolar
fhughey@green-plus.com,2,38.7,115,electric
finouye@y-corporation.com,3,38.2,NULL,electric
finouye@y-corporation.com,4,101.6,97,electric
fklang@cancity.com,2,33.9,150,electric
fklang@cancity.com,4,41.6,104,gas
fklang@ganjaflex.com,1,49.3,113,electric
fkohnert@condax.com,1,10.2,102,electric
fkohnert@condax.com,3,72.1,207,electric
fkohnert@condax.com,5,84.1,NULL,electric
fleto@isdom.com,3,38.2,99,electric
flizama@dontechi.com,4,25.6,169,electric
florens@y-corporation.com,2,76.8,100,electric
fmaillard@codehow.com,2,75.9,113,electric
fmaybury@plusstrip.com,1,19.0,186,gas
fmconnell@treequote.com,3,26.2,139,thermosolar
fmcrae@condax.com,1,11.8,90,electric
fmerced@iselectrics.com,3,14.3,180,electric
fmodzelewski@conecom.com,3,16.0,260,electric
fmondella@dambase.com,2,102.0,165,electric
fmorasca@domzoom.com,2,31.8,116,electric
fmorasca@domzoom.com,3,93.6,NULL,gas
fneither@statholdings.com,4,38.3,126,gas
fnunlee@dalttechnology.com,1,62.7,116,electric
fpaskin@sumace.com,1,19.9,205,heat pump
fpatak@bioplex.com,2,32.0,107,gas
fpontoriero@ron-tech.com,1,75.0,169,electric
fpoquette@conecom.com,1,75.8,102,electric
frulapaugh@streethex.com,1,70.5,239,thermosolar
frulapaugh@streethex.com,4,17.8,112,electric
fscriven@streethex.com,3,18.3,96,thermosolar
fsimilton@toughzap.com,2,14.9,98,thermosolar
fsimilton@toughzap.com,6,40.5,115,gas
fslusarski@dalttechnology.com,6,10.1,NULL,gas
fstorment@rundofase.com,1,78.8,155,electric
fstorment@rundofase.com,3,12.6,95,electric
ftawil@doncon.com,2,18.2,143,gas
ftimenez@isdom.com,1,14.1,108,electric
ftoelkes@zotware.com,2,12.0,192,gas
fwalthall@ganjaflex.com,3,19.8,126,gas
fwalthall@ganjaflex.com,5,10.2,186,heat pump
fwenner@j-texon.com,1,10.8,288,electric
fwhobrey@plussunin.com,1,31.0,118,thermosolar
gamyot@nam-zim.com,1,32.2,220,thermosolar
garceo@treequote.com,3,123.6,NULL,gas
garedondo@year-job.com,3,78.2,NULL,gas
gasar@cancity.com,1,14.7,NULL,gas
gasar@konmatfix.com,2,41.4,NULL,heat pump
gasar@konmatfix.com,3,75.3,226,gas
gbarfield@plexzap.com,1,11.0,NULL,electric
gbarfield@plexzap.com,3,10.4,121,electric
gbennick@ganjaflex.com,2,66.4,115,electric
gberlanga@silis.com,1,14.9,149,gas
gbevelacqua@zencorporation.com,2,42.6,167,thermosolar
gbolognia@year-job.com,4,81.1,98,thermosolar
gbrossart@goodsilron.com,1,42.6,NULL,gas
gburnard@cancity.com,1,18.9,90,electric
gbutt@plussunin.com,3,50.3,256,gas
gbutzen@streethex.com,1,42.3,133,gas
gbutzen@streethex.com,3,82.4,201,electric
gcaldarera@lexiqvolax.com,1,99.9,170,electric
gcaldarera@lexiqvolax.com,2,71.4,111,gas
gcaldarera@zathunicon.com,1,66.4,100,gas
gcandlish@ron-tech.com,1,12.8,NULL,electric
gchaffins@stanredtax.com,2,11.5,NULL,gas
gchui@fasehatice.com,3,42.8,155,electric
gchui@fasehatice.com,4,42.7,NULL,electric
gchui@gogozoom.com,1,57.5,95,thermosolar
gchui@ontomedia.com,3,84.2,130,electric
gcorrio@plexzap.com,2,13.0,90,gas
gcorrio@plexzap.com,3,96.0,100,thermosolar
gcorrio@plexzap.com,5,53.4,NULL,electric
gcousey@newex.com,1,65.2,283,electric
gcoyier@cancity.com,3,49.5,233,gas
gcronauer@xx-holding.com,2,22.4,NULL,electric
gdelasancha@j-texon.com,4,52.3,105,gas
gdevreese@finhigh.com,1,11.8,NULL,thermosolar
gdilliard@groovestreet.com,2,10.3,115,electric
gduenas@iselectrics.com,3,10.5,121,gas
geanes@openlane.com,1,32.6,NULL,gas
gehmann@cancity.com,1,93.2,122,electric
gehmann@cancity.com,3,23.5,102,electric
gennaco@rundofase.com,2,46.2,157,electric
geschberger@donware.com,5,44.0,114,gas
gfishburne@plusstrip.com,2,66.4,152,gas
ggabisi@codehow.com,1,19.7,172,gas
ggabisi@ganjaflex.com,2,20.6,170,gas
ggabisi@ganjaflex.com,3,13.1,125,thermosolar
ggellinger@xx-zobam.com,4,35.1,117,electric
ggesick@nam-zim.com,3,10.1,118,electric
ggiguere@iselectrics.com,1,14.7,155,electric
ggiguere@scotfind.com,2,12.0,106,heat pump
ggiguere@singletechno.com,2,72.7,195,gas
ggood@silis.com,4,76.6,163,gas
ggreenbush@zotware.com,3,43.2,137,electric
ggrenet@faxquote.com,3,26.5,114,electric
ggrenet@faxquote.com,5,52.9,188,electric
ghagele@bioholding.com,1,27.1,102,electric
ghamilton@ganjaflex.com,2,16.9,158,thermosolar
ghengel@zoomit.com,1,74.7,96,heat pump
ghoa@inity.com,7,11.1,236,gas
ghughey@golddex.com,1,40.5,97,electric
ghughey@golddex.com,3,38.8,158,electric
gkarpel@goodsilron.com,6,31.9,225,electric
gkiel@plussunin.com,1,16.5,226,thermosolar
gkippley@xx-holding.com,1,14.7,120,electric
gkippley@xx-holding.com,4,13.1,NULL,thermosolar
gkippley@xx-holding.com,6,70.4,238,thermosolar
gknipp@scotfind.com,4,48.4,151,electric
glindall@rundofase.com,2,81.4,96,electric
glipkin@iselectrics.com,3,37.9,NULL,thermosolar
gliukko@kinnamplus.com,3,70.1,269,electric
glukasik@streethex.com,4,47.3,120,electric
gmaynerich@plussunin.com,1,36.1,106,gas
gmccullan@opentech.com,1,51.1,112,electric
gmcrae@inity.com,3,11.6,100,electric
gmcrae@inity.com,5,36.7,123,gas
gmeinerding@fasehatice.com,2,99.1,167,gas
gmirafuentes@condax.com,1,15.8,110,electric
gmirafuentes@condax.com,2,14.1,121,electric
gmorasca@sunnamplex.com,1,19.2,107,electric
gmorasca@sunnamplex.com,3,17.6,112,gas
gmotley@zencorporation.com,1,39.0,214,electric
gmotley@zencorporation.com,3,59.0,124,electric
gmotley@zencorporation.com,4,92.7,161,thermosolar
gnicka@ron-tech.com,3,24.1,117,electric
gnunlee@treequote.com,2,41.4,174,electric
gostrosky@y-corporation.com,2,56.9,104,gas
gostrosky@zoomit.com,3,48.2,215,electric
gpapasergi@scottech.com,1,10.3,117,electric
gpedrozo@betatech.com,1,64.5,205,electric
gpedrozo@betatech.com,2,27.6,106,electric
