email,order_entered,heating_seasonal_performance_factor,seasonal_energy_efficiency_rating
cangalich@codehow.com,5,17.9,45.6
cangalich@codehow.com,6,24.9,35.2
cangalich@xx-zobam.com,3,9.9,52.7
carceo@bioplex.com,3,19.6,50.0
cauffrey@fasehatice.com,1,20.1,40.7
cauffrey@hottechi.com,2,28.1,61.8
cbarfield@fasehatice.com,1,22.4,47.1
cbarfield@fasehatice.com,3,24.7,39.4
cbarfield@iselectrics.com,2,24.0,50.7
cbatman@green-plus.com,1,17.9,45.9
cbayless@silis.com,1,20.8,51.9
cbennick@blackzim.com,1,36.5,31.2
cbennick@toughzap.com,1,19.4,39.0
cbennick@toughzap.com,2,23.5,49.1
cberganza@zathunicon.com,1,18.6,30.0
cberganza@zathunicon.com,3,29.4,46.7
cberganza@zathunicon.com,4,15.9,42.7
cbergesen@ron-tech.com,3,21.2,46.4
cbevelacqua@codehow.com,1,24.5,35.8
cbirkner@hottechi.com,3,18.5,15.6
cboord@toughzap.com,1,23.5,47.1
cboulter@condax.com,1,22.1,45.9
cbrachle@goodsilron.com,1,28.5,66.0
cbruschke@ontomedia.com,1,21.6,33.9
cburnard@opentech.com,1,17.8,44.5
cburnard@opentech.com,2,29.0,39.1
cburnard@opentech.com,4,23.1,54.3
cbutzen@faxquote.com,3,17.0,29.8
cbutzen@inity.com,3,19.9,31.3
cbuvens@sumace.com,3,15.1,38.5
cbuzick@plussunin.com,1,14.8,30.6
cbuzick@plussunin.com,2,19.0,52.2
cbuzick@plussunin.com,3,20.9,41.5
cbuzick@plussunin.com,4,17.0,62.0
ccaiafa@iselectrics.com,3,24.9,47.5
ccaiafa@iselectrics.com,4,23.0,40.3
ccaldarera@dalttechnology.com,3,15.8,47.2
ccaldarera@iselectrics.com,3,23.3,42.4
ccallaro@stanredtax.com,4,23.4,33.0
ccalvaresi@rantouch.com,3,26.7,66.8
ccalvaresi@rantouch.com,4,21.7,60.5
ccampain@sonron.com,1,15.8,48.9
ccampain@zumgoity.com,1,19.5,31.8
ccandlish@rangreen.com,3,22.2,37.8
ccastros@ron-tech.com,1,16.4,24.3
ccastros@ron-tech.com,3,24.5,44.5
ccaudy@zathunicon.com,1,25.0,57.9
ccetta@rundofase.com,1,22.5,44.2
ccetta@rundofase.com,3,25.7,54.2
ccetta@rundofase.com,5,23.8,32.7
ccetta@rundofase.com,6,20.6,35.5
cchui@scotfind.com,1,25.7,60.8
cclaucherty@singletechno.com,1,27.5,46.8
ccolaizzo@scotfind.com,2,31.0,47.2
ccoody@singletechno.com,2,17.9,52.5
ccookey@treequote.com,1,21.8,48.1
ccorrio@zathunicon.com,4,21.5,36.5
ccorrio@zathunicon.com,5,20.6,41.1
ccoyier@lexiqvolax.com,1,32.2,58.5
ccrupi@golddex.com,2,25.7,50.1
ccrupi@golddex.com,4,19.1,50.3
ccrupi@inity.com,1,27.5,39.9
ccrupi@inity.com,3,26.5,38.1
ccryer@betasoloin.com,1,20.5,46.1
ccryer@betasoloin.com,5,21.2,56.3
cdallen@opentech.com,3,26.0,48.2
cdallen@opentech.com,5,25.6,37.8
cdallen@singletechno.com,1,17.2,53.5
cdallen@singletechno.com,3,26.3,57.2
cdallen@singletechno.com,7,23.8,50.7
cdallen@singletechno.com,8,20.4,49.1
cdallen@singletechno.com,9,23.4,44.8
cdaufeldt@scotfind.com,3,23.5,32.6
cdegonia@betatech.com,1,22.8,49.8
cdegonia@betatech.com,3,20.2,41.8
cdegroot@newex.com,1,24.9,42.9
cdegroot@newex.com,4,20.8,44.4
cdegroot@newex.com,6,24.5,50.1
cdelasancha@betasoloin.com,1,24.2,26.7
cdelasancha@streethex.com,4,20.2,47.7
cdeleo@zoomit.com,1,16.7,64.1
cdeleo@zoomit.com,3,26.4,44.0
cdevreese@toughzap.com,3,14.9,33.9
cdickerson@singletechno.com,1,12.2,21.1
cdickerson@singletechno.com,3,17.6,49.6
cdickerson@singletechno.com,9,26.9,43.0
cdilliard@blackzim.com,5,17.3,33.5
cdinos@donquadtech.com,1,17.7,34.7
cdiscipio@faxquote.com,1,15.8,59.8
cdiscipio@faxquote.com,3,21.9,69.6
cdopico@isdom.com,2,25.8,41.1
cdopico@isdom.com,4,20.8,33.9
cdopico@scottech.com,3,27.4,47.0
cduenas@ontomedia.com,3,17.4,43.4
cduenas@zotware.com,1,18.1,24.6
cehmann@opentech.com,3,25.6,24.7
cemigh@dalttechnology.com,1,24.7,28.6
ceroman@plusstrip.com,2,18.8,61.6
ceschberger@zumgoity.com,1,27.3,39.9
cfarrow@cancity.com,3,18.5,24.9
cfarrow@scottech.com,1,22.3,59.2
cfarrow@scottech.com,3,24.1,26.5
cfortino@mathtouch.com,1,24.5,58.2
cfrankel@isdom.com,3,18.8,25.7
cfrankel@isdom.com,4,20.9,36.2
cfrankel@isdom.com,6,24.4,66.7
cfrerking@rantouch.com,1,31.2,45.3
cfrey@ron-tech.com,1,20.6,36.9
cfrey@ron-tech.com,2,19.2,36.2
cfrey@ron-tech.com,3,22.0,37.7
cgarufi@finjob.com,1,25.7,44.5
cgarufi@finjob.com,2,14.1,46.9
cgarufi@finjob.com,3,28.5,54.6
cgehrett@isdom.com,3,29.2,45.1
cgehrett@isdom.com,4,26.5,42.0
cgellinger@stanredtax.com,1,22.2,32.1
cgellinger@treequote.com,2,22.4,47.4
cgillian@ontomedia.com,2,34.8,23.2
cgillian@ontomedia.com,6,22.2,42.3
cglick@rantouch.com,3,23.2,23.6
cglick@scotfind.com,1,22.2,41.5
cglick@scotfind.com,2,32.8,39.6
cglick@scotfind.com,4,22.9,27.0
cglick@scotfind.com,5,25.2,33.8
cglick@scotfind.com,8,19.7,35.0
cgobern@sunnamplex.com,2,23.3,41.0
cgochal@konex.com,1,23.2,34.9
cgochal@konex.com,2,19.3,50.1
cgochal@konex.com,3,26.3,45.4
cgochal@konex.com,6,26.2,40.6
cgochal@sunnamplex.com,1,24.2,54.0
cgochal@sunnamplex.com,2,17.9,33.7
cgrenet@y-corporation.com,1,24.0,41.2
cgudroe@plexzap.com,1,19.9,34.8
chagele@donquadtech.com,1,21.4,47.3
chagele@donquadtech.com,2,30.4,63.7
chagele@donquadtech.com,4,28.9,38.6
chagele@y-corporation.com,1,20.0,50.9
chalsey@dambase.com,3,20.1,45.1
charnos@blackzim.com,2,24.7,47.5
charoldson@condax.com,2,22.4,33.1
cheimann@silis.com,1,30.1,39.3
cheimann@silis.com,2,22.1,48.3
cherritt@toughzap.com,1,16.9,62.4
chiatt@blackzim.com,1,26.1,33.3
chiatt@blackzim.com,2,23.6,24.2
chiatt@y-corporation.com,2,24.7,44.4
chixenbaugh@dalttechnology.com,1,18.7,45.2
chixenbaugh@dalttechnology.com,2,17.8,41.4
choffis@opentech.com,2,26.4,40.6
choneywell@ganjaflex.com,1,19.8,34.5
choneywell@ganjaflex.com,3,19.6,41.1
choneywell@ganjaflex.com,4,17.3,37.3
choneywell@konex.com,1,18.2,35.3
choneywell@konex.com,4,18.7,45.4
choneywell@konex.com,6,24.7,37.7
choneywell@opentech.com,1,19.9,37.3
choneywell@opentech.com,6,25.2,54.6
choneywell@opentech.com,7,14.8,69.5
choogland@bioplex.com,4,20.2,47.2
chusser@bioholding.com,2,21.5,45.3
chusser@dambase.com,2,17.0,34.3
chusser@dambase.com,4,27.9,52.5
chusser@dambase.com,6,21.6,47.5
cisenhower@zoomit.com,1,22.4,49.3
citurbide@gogozoom.com,1,20.2,39.7
citurbide@gogozoom.com,4,15.6,50.7
ckannady@green-plus.com,2,19.3,33.7
ckannady@green-plus.com,3,21.2,54.3
ckannady@green-plus.com,4,19.1,34.2
ckannady@y-corporation.com,1,17.5,36.1
ckarpel@singletechno.com,2,14.2,35.4
cketelsen@finhigh.com,2,18.0,45.1
cketelsen@finhigh.com,3,18.8,44.2
ckiel@betatech.com,2,18.2,34.1
ckines@bioholding.com,2,24.9,27.0
ckines@bioholding.com,3,24.4,36.1
ckines@openlane.com,2,23.2,45.8
ckippley@sonron.com,2,22.8,57.5
cklang@zoomit.com,1,18.5,55.0
cklusman@donware.com,1,16.6,45.5
cklusman@donware.com,3,26.3,41.8
cknipp@groovestreet.com,5,24.9,25.4
cknipp@groovestreet.com,6,25.1,40.6
cknipp@groovestreet.com,7,10.7,19.3
ckoppinger@hottechi.com,3,18.3,42.2
ckoppinger@hottechi.com,4,17.1,46.3
ckorando@labdrill.com,3,23.6,29.8
ckorando@labdrill.com,4,17.0,54.2
ckorando@labdrill.com,6,27.9,50.2
ckorando@newex.com,1,20.4,33.9
ckorando@newex.com,2,28.2,37.6
ckorando@newex.com,3,27.2,33.5
ckownacki@doncon.com,1,21.1,53.9
ckownacki@doncon.com,2,26.6,42.1
ckownacki@doncon.com,3,23.3,53.0
ckownacki@lexiqvolax.com,1,22.0,52.2
ckulzer@silis.com,1,15.8,43.4
ckusko@conecom.com,1,28.2,43.5
ckusko@conecom.com,2,21.5,51.5
clabreche@opentech.com,3,22.2,51.6
clawler@cancity.com,1,22.5,45.6
clawler@cancity.com,3,20.4,52.8
clawler@faxquote.com,1,17.9,47.5
clawler@finhigh.com,3,19.9,61.0
clayous@singletechno.com,3,21.6,45.2
clayous@singletechno.com,6,18.0,26.7
cleto@betatech.com,2,14.6,40.9
clietz@nam-zim.com,1,24.3,46.5
clietz@nam-zim.com,4,19.2,26.3
clinahan@openlane.com,1,23.6,43.0
clinahan@openlane.com,3,21.2,50.5
cliukko@inity.com,1,22.1,32.3
cliukko@inity.com,4,14.6,41.0
cliukko@rantouch.com,1,21.9,54.8
cliukko@rantouch.com,5,25.6,40.2
cloder@kan-code.com,3,27.8,38.0
clother@treequote.com,2,25.0,38.6
clother@treequote.com,3,20.6,45.2
clueckenbach@year-job.com,1,22.4,34.4
cmadarang@rundofase.com,1,23.6,40.2
cmadarang@rundofase.com,6,21.1,57.1
cmai@golddex.com,1,22.5,45.3
cmalet@zathunicon.com,1,25.1,49.6
cmarrier@conecom.com,1,28.7,35.1
cmarrier@conecom.com,2,20.0,52.3
cmastella@rantouch.com,1,17.6,25.9
cmatuszak@silis.com,3,21.9,43.6
cmatuszak@xx-holding.com,1,16.3,50.9
cmeisel@sunnamplex.com,2,22.3,23.0
cmeisel@sunnamplex.com,3,19.7,48.9
cmiceli@conecom.com,1,25.0,45.4
cmodzelewski@stanredtax.com,1,15.3,41.6
cmodzelewski@stanredtax.com,2,21.7,47.0
cmonarrez@gogozoom.com,2,22.5,23.9
cmonarrez@gogozoom.com,3,17.8,45.6
cmonarrez@golddex.com,3,16.8,58.9
cmoyd@toughzap.com,1,23.2,37.7
cmoyd@toughzap.com,3,26.6,57.6
cmulqueen@iselectrics.com,2,24.2,23.6
cmulqueen@zathunicon.com,1,24.8,37.2
cmulqueen@zathunicon.com,2,21.9,45.1
cneither@betatech.com,4,22.8,37.8
cnestle@stanredtax.com,3,27.6,45.1
cnestle@stanredtax.com,6,22.0,57.4
cnestle@xx-holding.com,3,24.3,68.1
cnewville@ron-tech.com,2,25.2,59.8
cnewville@ron-tech.com,3,23.0,51.4
cnicka@codehow.com,1,17.8,58.4
cnunlee@streethex.com,2,10.2,44.3
cohms@scotfind.com,2,17.0,35.2
cohms@toughzap.com,2,24.5,47.6
coldroyd@scottech.com,2,26.4,39.1
coldroyd@scottech.com,3,25.1,48.1
cpalaspas@finhigh.com,1,18.4,38.7
cpalaspas@finhigh.com,2,22.5,38.4
cpalaspas@finhigh.com,3,25.3,44.1
cpapasergi@golddex.com,1,18.3,52.7
cpapasergi@golddex.com,6,16.6,41.8
cpaprocki@scotfind.com,1,22.5,38.3
cparlato@kinnamplus.com,1,23.1,45.8
cpaskin@fasehatice.com,1,21.7,29.4
cpaulas@nam-zim.com,6,19.3,44.0
cpaulas@warephase.com,4,18.2,49.3
cperin@year-job.com,3,27.5,32.8
cperin@zoomit.com,1,22.0,31.2
cperin@zoomit.com,4,25.8,42.4
cperin@zoomit.com,5,25.6,55.8
cperin@zoomit.com,6,21.3,60.2
cperruzza@warephase.com,1,22.6,48.4
cperruzza@warephase.com,2,22.1,64.5
cperruzza@warephase.com,3,16.0,51.6
cpinilla@fasehatice.com,3,28.3,31.8
cpinilla@newex.com,1,18.9,53.1
cplumer@fasehatice.com,2,21.3,45.8
cplumer@fasehatice.com,3,26.9,44.7
cplumer@nam-zim.com,2,23.8,50.0
cplumer@nam-zim.com,5,19.8,33.1
cpontoriero@groovestreet.com,1,21.5,40.4
cpontoriero@groovestreet.com,7,20.6,53.0
cpontoriero@groovestreet.com,8,20.1,59.2
cpoquette@kan-code.com,3,16.5,42.9
cpoullion@isdom.com,2,23.6,35.1
cragel@dambase.com,2,19.0,53.8
craymo@blackzim.com,1,20.2,28.1
cregusters@finhigh.com,1,21.9,37.6
cregusters@finhigh.com,3,16.4,26.4
cregusters@ontomedia.com,6,12.1,32.2
creiber@xx-holding.com,1,18.6,44.5
creiber@xx-holding.com,3,14.2,44.9
creiber@zotware.com,2,28.4,45.5
crestrepo@j-texon.com,1,23.8,41.0
crhoden@funholding.com,1,25.1,35.5
crhoden@funholding.com,3,20.4,40.9
criden@streethex.com,3,20.0,51.8
cryser@stanredtax.com,1,27.8,23.5
cryser@stanredtax.com,2,23.2,50.2
cryser@stanredtax.com,3,20.3,49.9
cryser@zathunicon.com,2,17.9,38.8
cryser@zathunicon.com,4,17.8,40.2
csahagun@scotfind.com,2,24.1,38.3
csama@green-plus.com,2,22.7,46.4
csama@green-plus.com,3,20.6,61.2
csama@green-plus.com,5,23.1,48.9
csamu@isdom.com,2,22.8,32.7
csarao@plexzap.com,1,16.8,45.5
csawchuk@konex.com,3,19.0,44.1
csayaphon@inity.com,2,18.5,23.4
csayaphon@inity.com,3,22.8,38.6
cscheyer@betasoloin.com,2,30.7,38.3
cscheyer@betasoloin.com,3,21.5,60.9
cschnitzler@rangreen.com,2,17.9,38.8
cscipione@gogozoom.com,1,18.4,32.4
cscriven@iselectrics.com,3,22.9,40.8
cscriven@scottech.com,1,22.0,35.2
csemidey@green-plus.com,1,16.2,42.4
cshields@bioholding.com,1,26.2,38.1
cshields@lexiqvolax.com,3,20.2,33.9
cshin@openlane.com,1,25.7,47.7
cshin@openlane.com,2,24.7,44.5
csilvestrini@donquadtech.com,2,17.1,48.7
csilvestrini@donquadtech.com,3,26.5,27.2
cskulski@funholding.com,1,25.5,35.2
cskursky@codehow.com,1,29.9,52.6
cskursky@nam-zim.com,6,23.8,27.0
cslayton@stanredtax.com,6,22.7,45.0
cslayton@stanredtax.com,7,18.0,35.4
cstaback@gogozoom.com,2,26.6,44.7
cstockham@ontomedia.com,1,18.6,42.5
cstockham@ontomedia.com,2,23.7,31.3
cstockham@ontomedia.com,3,21.3,65.8
cstoltzman@konex.com,3,15.4,66.6
cstorment@green-plus.com,1,19.8,62.3
cstorment@green-plus.com,2,25.6,38.3
cstorment@inity.com,1,18.9,19.2
csuffield@codehow.com,1,23.3,48.7
csuffield@codehow.com,2,24.1,40.2
cswayze@lexiqvolax.com,1,25.3,20.3
cswayze@lexiqvolax.com,2,27.3,36.9
csyrop@rundofase.com,1,18.7,42.2
ctagala@zoomit.com,2,25.2,52.2
ctagala@zoomit.com,3,16.4,41.8
ctjepkema@isdom.com,1,21.3,37.0
ctjepkema@isdom.com,3,26.2,40.0
ctjepkema@ron-tech.com,3,22.6,46.2
ctjepkema@ron-tech.com,4,23.8,32.2
ctjepkema@ron-tech.com,5,22.0,45.9
ctjepkema@streethex.com,1,24.2,38.1
ctjepkema@streethex.com,2,21.3,43.1
ctjepkema@streethex.com,3,20.3,33.1
ctoelkes@stanredtax.com,1,23.5,29.8
ctolfree@rangreen.com,2,22.3,46.0
ctoyama@treequote.com,1,28.1,40.2
ctoyama@treequote.com,3,27.3,29.5
ctromblay@funholding.com,1,14.8,45.2
ctromblay@funholding.com,5,22.2,41.0
cturinetti@donquadtech.com,3,23.1,38.1
cvanausdal@domzoom.com,1,20.1,53.3
cvanausdal@domzoom.com,3,26.4,41.0
cvanausdal@domzoom.com,7,23.1,50.9
cvillanueva@zumgoity.com,1,29.7,36.6
cvillanueva@zumgoity.com,3,23.0,52.5
cvonasek@kan-code.com,2,15.5,48.3
cvonasek@kan-code.com,4,21.0,21.7
cwalthall@ontomedia.com,2,22.7,51.7
cwardrip@betasoloin.com,1,23.6,41.2
cwardrip@betasoloin.com,2,24.9,43.7
cwardrip@betasoloin.com,3,20.0,41.1
cwaymire@conecom.com,1,19.1,39.7
cweglarz@finhigh.com,1,17.9,42.9
cweglarz@konex.com,1,11.5,45.4
cwesterbeck@silis.com,1,22.4,40.4
cwolfgramm@donquadtech.com,1,19.1,49.1
cwolfgramm@donquadtech.com,3,25.2,49.4
cwolfgramm@groovestreet.com,2,24.8,45.2
cworlds@xx-zobam.com,2,23.5,33.0
cyaw@condax.com,2,22.6,60.6
cyaw@condax.com,3,21.8,48.7
cyaw@xx-holding.com,3,18.2,45.2
cyaw@xx-holding.com,4,20.2,38.1
czepp@y-corporation.com,1,24.0,45.4
czepp@y-corporation.com,2,30.4,38.5
czepp@y-corporation.com,3,24.1,51.5
dabdallah@bioplex.com,2,19.3,38.0
dabdallah@bioplex.com,3,24.2,35.9
dabdallah@bioplex.com,6,24.8,43.4
dacey@mathtouch.com,1,22.8,67.6
dacey@mathtouch.com,2,22.8,38.9
dacey@mathtouch.com,3,24.6,49.9
dagramonte@toughzap.com,1,24.2,49.6
dandreason@konex.com,2,21.3,26.4
dangalich@silis.com,1,25.0,40.6
dangalich@silis.com,2,16.1,60.1
dangalich@silis.com,4,22.3,47.0
dangalich@silis.com,5,13.6,46.3
dangalich@silis.com,6,23.4,25.0
dbarfield@ganjaflex.com,4,24.6,66.2
dbayless@sonron.com,1,25.2,53.9
dbennick@zotware.com,4,22.8,32.3
dbennick@zotware.com,5,25.8,50.4
dbennick@zotware.com,6,18.5,33.2
dberray@groovestreet.com,2,17.9,46.9
dberray@groovestreet.com,3,25.1,57.2
dbevelacqua@silis.com,2,26.8,41.4
dbevelacqua@silis.com,3,16.7,33.3
dbilden@kinnamplus.com,2,19.0,30.0
dbilden@kinnamplus.com,3,23.6,43.6
dbilden@kinnamplus.com,4,28.1,34.6
dboord@year-job.com,3,23.9,47.8
dborgman@y-corporation.com,1,19.4,45.7
dborgman@y-corporation.com,2,24.3,48.9
dborgman@y-corporation.com,4,22.4,27.3
dbowley@warephase.com,3,18.4,28.0
dbrachle@fasehatice.com,2,29.8,57.1
dbrachle@fasehatice.com,4,18.9,56.2
dbrachle@fasehatice.com,6,28.6,37.6
dbrachle@stanredtax.com,1,21.1,44.6
dbrachle@stanredtax.com,2,23.0,31.3
dbrachle@stanredtax.com,3,17.9,48.8
dbrachle@stanredtax.com,4,23.0,59.1
dbreland@inity.com,1,25.1,46.2
dbrossart@faxquote.com,4,21.6,32.3
dbrossart@faxquote.com,6,24.8,51.9
dbrossart@finjob.com,1,25.2,40.3
dburnard@zathunicon.com,2,22.3,31.8
dburnard@zathunicon.com,3,24.6,35.8
dbuvens@iselectrics.com,3,26.4,51.5
dbuvens@nam-zim.com,1,25.2,42.5
dbuvens@newex.com,1,21.6,33.8
dbuvens@rangreen.com,1,26.9,38.6
dbuvens@rangreen.com,3,22.2,56.0
dbuvens@rangreen.com,4,15.6,46.2
dcaldarera@isdom.com,3,14.7,43.9
dcaldarera@isdom.com,4,21.2,49.0
dcaldarera@isdom.com,5,22.4,29.9
dcanlas@betatech.com,1,16.9,39.2
dcanlas@konex.com,1,17.8,27.5
dchesterfield@isdom.com,1,16.7,21.6
dclaucherty@streethex.com,3,27.6,51.3
dcomnick@finhigh.com,3,21.3,33.1
dcomnick@finhigh.com,4,25.8,28.1
dcomnick@finhigh.com,5,31.0,43.7
dcomnick@finhigh.com,10,22.8,29.7
dcomnick@rundofase.com,1,25.9,42.8
dcomnick@rundofase.com,2,21.3,24.2
dcomnick@rundofase.com,3,24.9,47.2
dcork@zotware.com,3,19.6,54.5
dcorrio@codehow.com,3,17.0,49.2
dcoyier@zathunicon.com,1,20.9,26.5
dcraghead@silis.com,3,30.3,41.9
dcronauer@finjob.com,2,26.8,31.1
dcrupi@ontomedia.com,1,18.7,54.6
dcrupi@ontomedia.com,2,23.6,33.5
dcrupi@ontomedia.com,3,29.1,44.8
dcryer@inity.com,1,27.6,21.7
ddarakjy@cancity.com,4,17.4,54.6
ddarakjy@cancity.com,5,26.9,43.5
ddarakjy@cancity.com,6,21.9,51.0
ddegonia@silis.com,1,31.8,48.0
ddegroot@stanredtax.com,3,24.2,42.5
ddelasancha@funholding.com,4,28.7,54.9
ddevreese@fasehatice.com,1,21.1,55.9
ddevreese@fasehatice.com,3,19.1,21.9
ddhamer@blackzim.com,2,24.4,36.3
ddhamer@blackzim.com,3,16.0,35.1
ddilliard@konmatfix.com,1,21.1,52.4
ddinos@toughzap.com,1,29.4,42.9
ddiscipio@j-texon.com,2,23.6,35.3
ddiscipio@j-texon.com,5,10.3,26.7
ddiscipio@j-texon.com,7,26.2,45.4
demigh@xx-holding.com,1,15.0,58.4
dengelberg@condax.com,2,18.7,41.6
destell@xx-zobam.com,2,24.3,43.2
destell@xx-zobam.com,3,20.0,39.1
dfallick@toughzap.com,3,24.4,57.7
dfallick@toughzap.com,4,18.2,37.2
dfarrow@betatech.com,1,21.3,47.0
dfarrow@domzoom.com,2,20.5,40.6
dfarrow@labdrill.com,3,20.0,40.6
dfeichtner@toughzap.com,7,22.4,50.7
dfelger@y-corporation.com,1,18.0,59.9
dfelger@y-corporation.com,5,24.8,60.1
dfelger@y-corporation.com,7,23.1,50.8
dfelger@y-corporation.com,15,22.9,54.1
dfritz@betatech.com,3,27.1,42.4
dgehrett@scotfind.com,3,22.2,50.6
dgellinger@conecom.com,1,21.1,44.6
dgellinger@conecom.com,3,18.4,34.4
dgesick@rundofase.com,1,17.7,33.9
dgillaspie@lexiqvolax.com,3,23.7,38.1
dgleich@sumace.com,1,23.0,37.7
dgleich@sumace.com,4,18.6,48.1
dgleich@sumace.com,5,26.9,46.5
dgoldammer@statholdings.com,1,24.0,28.2
dgoldammer@statholdings.com,2,19.1,46.9
dhalter@newex.com,1,25.4,39.1
dharnos@rantouch.com,7,19.1,47.7
dharnos@rantouch.com,8,22.0,52.8
dharnos@rantouch.com,9,22.3,26.3
dharnos@xx-holding.com,1,23.8,46.1
dharoldson@fasehatice.com,2,26.7,52.9
dharoldson@fasehatice.com,3,8.7,41.6
dharoldson@zathunicon.com,3,24.5,33.5
dheimann@konmatfix.com,2,20.1,59.1
dheintzman@nam-zim.com,3,23.1,55.5
dhengel@silis.com,1,24.3,38.1
dhengel@silis.com,3,28.4,31.9
dhidvegi@konmatfix.com,2,23.5,56.4
dhidvegi@konmatfix.com,3,24.6,44.9
dhidvegi@konmatfix.com,4,13.5,64.7
dhidvegi@konmatfix.com,5,25.0,53.9
dhirpara@xx-zobam.com,1,27.8,37.8
dhirpara@xx-zobam.com,2,13.1,35.1
dhughey@condax.com,1,18.1,53.4
dhughey@newex.com,1,24.9,31.6
disenhower@iselectrics.com,1,27.3,31.6
disenhower@opentech.com,1,25.4,32.2
disenhower@opentech.com,2,19.2,44.5
disenhower@opentech.com,3,22.9,38.1
diturbide@ganjaflex.com,2,23.2,36.1
diturbide@ganjaflex.com,4,22.3,43.5
diturbide@isdom.com,2,18.1,74.4
djulia@zathunicon.com,2,19.3,40.1
djurney@labdrill.com,3,21.8,64.7
djuvera@xx-zobam.com,1,18.3,28.7
dkannady@yearin.com,2,23.8,40.9
dkarpel@rantouch.com,1,26.3,54.4
dkarpel@rantouch.com,3,19.4,37.6
dkines@gogozoom.com,1,20.2,41.2
dkines@gogozoom.com,2,23.6,32.9
dkines@rangreen.com,3,26.0,42.9
dkippley@plexzap.com,2,26.4,48.0
dkippley@plexzap.com,7,19.1,31.4
dklimek@groovestreet.com,3,24.9,45.1
dkoppinger@blackzim.com,1,18.7,40.0
dkulzer@gogozoom.com,1,15.2,42.5
dkulzer@rundofase.com,3,19.1,59.6
dlatzke@funholding.com,1,19.7,57.9
dleinenbach@year-job.com,1,25.4,37.4
dleinenbach@year-job.com,3,18.2,29.0
dleinenbach@zumgoity.com,3,20.1,41.2
dleto@ganjaflex.com,1,26.7,30.9
dleto@ganjaflex.com,2,19.2,36.6
dleto@ganjaflex.com,3,26.8,50.5
dlipke@blackzim.com,1,20.1,33.8
dlipke@blackzim.com,3,21.1,65.8
dlipke@sonron.com,1,22.2,43.2
dlizama@funholding.com,2,23.3,29.1
dlizama@funholding.com,4,18.6,46.4
dluczki@ganjaflex.com,1,26.6,62.0
dluczki@ganjaflex.com,2,24.5,40.9
dluczki@ganjaflex.com,3,24.8,39.8
dlueckenbach@conecom.com,1,18.8,42.6
dlueckenbach@conecom.com,3,22.1,30.3
dlueckenbach@conecom.com,4,29.7,46.3
dlueckenbach@conecom.com,6,21.7,40.3
dmaclead@zathunicon.com,1,21.9,44.7
dmaile@conecom.com,4,20.6,39.4
dmaisto@stanredtax.com,1,21.8,45.8
dmalvin@openlane.com,1,24.7,42.0
dmanno@ron-tech.com,1,22.4,37.8
dmarrier@newex.com,5,22.6,49.6
dmarrier@newex.com,6,22.3,43.7
dmartabano@rundofase.com,1,14.1,52.0
dmaynerich@xx-zobam.com,1,21.2,43.0
dmaynerich@xx-zobam.com,3,27.8,55.5
dmaynerich@xx-zobam.com,5,27.1,42.8
dmaynerich@xx-zobam.com,7,23.3,47.1
dmclaird@bioholding.com,1,21.8,38.5
dmclaird@bioholding.com,3,18.8,35.4
dmcnease@ontomedia.com,1,25.3,46.7
dmcnease@ontomedia.com,3,24.2,53.6
dmeinerding@toughzap.com,1,19.9,34.7
dmeisel@goodsilron.com,2,22.6,54.2
dmeisel@goodsilron.com,5,23.5,56.4
dmeisel@goodsilron.com,6,22.7,40.9
dmiceli@treequote.com,1,21.5,41.0
dmiceli@treequote.com,4,14.7,34.8
dmondella@ron-tech.com,3,15.6,24.9
dmorasca@y-corporation.com,1,16.6,55.5
dmorasca@y-corporation.com,4,28.4,61.7
dmorocco@faxquote.com,3,17.1,35.9
dmyricks@hatfan.com,1,21.7,40.3
dnabours@zoomit.com,1,23.9,51.2
dnabours@zoomit.com,2,17.6,49.6
dnabours@zoomit.com,3,28.4,43.7
dnabours@zoomit.com,5,27.3,56.8
dnabours@zoomit.com,6,20.6,47.9
dneither@funholding.com,3,25.5,48.2
dogg@inity.com,3,27.7,51.0
dpaa@labdrill.com,1,18.2,33.4
dpaa@labdrill.com,5,21.7,51.2
dpaa@labdrill.com,6,22.3,37.0
dpagliuca@stanredtax.com,8,20.0,25.8
dpagliuca@stanredtax.com,10,15.3,36.3
dpagliuca@stanredtax.com,11,24.7,27.8
dpalaspas@fasehatice.com,1,26.1,46.1
dplumer@plussunin.com,1,18.7,46.6
dplumer@plussunin.com,3,24.3,42.7
dplumer@plussunin.com,7,24.2,16.0
dpolidori@sumace.com,1,22.3,37.9
dpontoriero@plexzap.com,1,18.0,42.1
dpontoriero@plexzap.com,2,26.3,52.6
dpoquette@stanredtax.com,1,20.9,57.3
draymo@cancity.com,2,23.6,38.2
drestrepo@scotfind.com,1,20.2,51.4
drhym@sunnamplex.com,1,20.8,66.7
drhym@sunnamplex.com,2,20.8,30.3
drim@green-plus.com,4,21.6,32.9
drim@zathunicon.com,6,25.0,52.8
drodefer@fasehatice.com,1,25.8,37.9
drodenberger@doncon.com,1,20.6,46.3
drulapaugh@conecom.com,1,21.5,36.6
dryser@zoomit.com,1,20.8,49.1
dryser@zoomit.com,2,27.2,32.9
dsama@betatech.com,1,31.0,44.3
dsamu@finjob.com,2,22.1,47.9
dschemmer@iselectrics.com,3,15.0,36.5
dschemmer@streethex.com,2,19.6,47.0
dschemmer@streethex.com,3,21.7,57.6
