email,square_footage,household_type,thermostat_setting_heating,thermostat_setting_cooling,postal_code
dlother@lexiqvolax.com,1255,apartment,76,75,98222
dluczki@ganjaflex.com,1136,house,70,73,98533
dluczki@plexzap.com,1484,house,74,73,76270
dlueckenbach@conecom.com,2663,house,68,75,27972
dmaclead@zathunicon.com,903,townhome,73,71,39595
dmaile@conecom.com,404,"mobile home",72,72,28220
dmaisto@stanredtax.com,1552,house,70,NULL,19902
dmaisto@toughzap.com,1689,townhome,70,NULL,50140
dmalvin@conecom.com,2181,house,72,71,81253
dmalvin@domzoom.com,903,condominium,65,70,07704
dmalvin@openlane.com,988,apartment,71,75,98581
dmanno@dontechi.com,366,house,72,70,10572
dmanno@ron-tech.com,385,apartment,75,NULL,83303
dmarrier@newex.com,3015,house,74,71,37141
dmartabano@rundofase.com,546,condominium,71,74,64087
dmaynerich@xx-zobam.com,2570,apartment,72,NULL,04288
dmclaird@bioholding.com,2073,house,67,73,21853
dmcnease@ontomedia.com,2004,apartment,70,NULL,35232
dmcnease@xx-holding.com,1170,townhome,74,NULL,20412
dmeinerding@toughzap.com,2173,condominium,73,NULL,59927
dmeisel@goodsilron.com,1620,apartment,66,NULL,46402
dmeteer@scottech.com,107,house,76,70,84130
dmiceli@treequote.com,1661,house,69,76,25202
dmondella@ron-tech.com,1456,house,74,76,60426
dmonterrubio@newex.com,44,apartment,75,71,55384
dmorasca@inity.com,554,condominium,64,NULL,60089
dmorasca@y-corporation.com,1159,townhome,72,NULL,75978
dmorocco@faxquote.com,2509,house,NULL,73,41031
dmyricks@hatfan.com,751,house,76,73,06019
dnabours@domzoom.com,78,townhome,75,NULL,58474
dnabours@year-job.com,1222,apartment,74,71,37663
dnabours@zoomit.com,1472,apartment,74,NULL,70836
dneither@funholding.com,851,apartment,72,76,61106
dnicka@sumace.com,113,apartment,67,73,20037
dnunlee@isdom.com,2420,house,73,73,13123
dogg@inity.com,1214,house,64,NULL,62684
dogg@year-job.com,840,apartment,72,71,35068
dpaa@labdrill.com,2284,townhome,70,NULL,93202
dpagliuca@plussunin.com,291,"mobile home",69,72,62450
dpagliuca@stanredtax.com,3539,apartment,70,NULL,35618
dpalaia@betatech.com,1028,house,NULL,73,77340
dpalaspas@fasehatice.com,601,apartment,78,75,01222
dperruzza@scotfind.com,342,"mobile home",71,NULL,26571
dplumer@plussunin.com,3821,house,75,73,19079
dpolidori@sumace.com,788,house,70,NULL,49780
dpontoriero@plexzap.com,1467,townhome,73,NULL,16034
dpoquette@stanredtax.com,1650,house,69,NULL,68702
drauser@treequote.com,678,house,72,75,45503
draymo@betatech.com,550,apartment,69,NULL,06010
draymo@cancity.com,1045,apartment,68,73,28635
dregusters@donquadtech.com,1364,house,NULL,73,84315
dreiber@openlane.com,607,townhome,75,NULL,46920
drestrepo@scotfind.com,839,house,70,72,71354
drhym@groovestreet.com,1152,apartment,69,72,05061
drhym@sunnamplex.com,1309,house,76,NULL,49705
drim@green-plus.com,1759,house,NULL,73,13093
drim@zathunicon.com,2228,apartment,73,NULL,71256
drochin@cancity.com,662,townhome,75,71,38140
drochin@j-texon.com,1481,house,74,NULL,94104
drodefer@fasehatice.com,1380,house,72,NULL,68440
drodefer@statholdings.com,212,"mobile home",76,71,20080
drodenberger@doncon.com,1483,townhome,71,72,57774
drulapaugh@conecom.com,647,house,75,71,90305
dryser@zoomit.com,925,house,NULL,73,98181
dsahagun@finjob.com,672,townhome,72,72,31415
dsama@betatech.com,1357,house,76,76,55612
dsamara@finhigh.com,1419,townhome,69,NULL,95866
dsamu@finjob.com,1876,house,NULL,75,28303
dsaras@rantouch.com,1543,house,NULL,70,30449
dsayaphon@dalttechnology.com,817,house,74,NULL,75258
dschemmer@iselectrics.com,991,townhome,NULL,73,02181
dschemmer@streethex.com,1593,townhome,69,69,00603
dschirpke@donquadtech.com,862,townhome,76,73,54495
dschmaltz@donware.com,1022,house,71,NULL,19564
dscipione@labdrill.com,2615,house,73,71,98617
dscriven@doncon.com,1167,house,NULL,NULL,20754
dseewald@plexzap.com,463,apartment,72,NULL,02648
dsemidey@singletechno.com,719,townhome,75,72,84653
dsengbusch@mathtouch.com,630,townhome,68,73,00938
dshadrick@rantouch.com,1198,condominium,69,74,73848
dshealy@doncon.com,1050,townhome,78,NULL,75462
dshin@sonron.com,473,condominium,75,NULL,99110
dshinko@ontomedia.com,1333,condominium,76,71,85930
dshinko@zotware.com,394,apartment,78,69,29123
dsilvestrini@betasoloin.com,485,apartment,73,NULL,08107
dskulski@finhigh.com,1141,house,70,74,20372
dskursky@conecom.com,2610,house,76,72,16021
dskursky@konex.com,2293,house,76,71,66047
dslayton@xx-holding.com,1107,townhome,69,76,30212
dslusarski@doncon.com,391,apartment,75,73,62555
dsmith@silis.com,130,"mobile home",68,72,39066
dspickerman@fasehatice.com,1073,apartment,74,NULL,22310
dsteffensmeier@cancity.com,1591,townhome,NULL,75,18762
dsteier@openlane.com,576,apartment,NULL,74,98628
dstem@y-corporation.com,847,house,NULL,72,10166
dstimmel@dalttechnology.com,1287,apartment,65,74,13612
dstimmel@isdom.com,1550,house,73,70,37779
dstrassner@plussunin.com,625,townhome,71,72,49614
dsweigard@xx-holding.com,82,condominium,73,NULL,17126
dsyrop@blackzim.com,722,townhome,71,71,19013
dsyrop@codehow.com,24,"mobile home",NULL,70,41651
dtagala@rantouch.com,573,condominium,77,NULL,85284
dtagala@y-corporation.com,526,townhome,76,76,74565
dtawil@donware.com,1363,house,71,72,43518
dtimenez@gogozoom.com,471,apartment,75,NULL,85629
dtoelkes@bioplex.com,527,townhome,74,74,12183
dtollner@ontomedia.com,892,house,71,76,45171
dtollner@plusstrip.com,543,apartment,68,NULL,27502
dtollner@stanredtax.com,753,apartment,NULL,70,18501
dtollner@sumace.com,730,house,NULL,72,74533
dtollner@xx-zobam.com,1348,house,77,73,15691
dtomasulo@toughzap.com,2518,apartment,69,70,16935
dtreston@finhigh.com,700,house,65,NULL,61911
dtreston@iselectrics.com,71,house,75,NULL,47030
dturinetti@conecom.com,2147,apartment,72,69,93407
dturinetti@kan-code.com,579,condominium,73,73,08311
dupthegrove@newex.com,67,"mobile home",70,NULL,35762
dupthegrove@year-job.com,1250,townhome,71,75,60926
dvanheusen@streethex.com,895,apartment,NULL,73,34208
dvarriano@dalttechnology.com,507,apartment,72,NULL,57261
dvinning@dambase.com,236,"mobile home",69,69,95155
dvinning@newex.com,186,townhome,67,72,98664
dvocelka@rangreen.com,493,condominium,71,73,52252
dwardrip@inity.com,2765,house,68,74,98250
dwaycott@newex.com,1808,townhome,74,73,12345
dwaymire@hatfan.com,1432,townhome,NULL,75,81073
dweglarz@hatfan.com,1935,house,73,72,40259
dwenner@blackzim.com,1610,house,74,75,43759
dwenner@dambase.com,2653,house,66,68,06816
dwenner@mathtouch.com,1600,house,NULL,74,41840
dwieser@kan-code.com,646,condominium,74,70,51063
dwieser@openlane.com,283,apartment,76,74,63348
dwiklund@kinnamplus.com,2514,townhome,69,NULL,83873
dwiklund@xx-holding.com,1539,apartment,71,NULL,62631
dyaw@treequote.com,360,apartment,NULL,69,28586
dyglesias@opentech.com,431,apartment,NULL,75,04924
dyglesias@sonron.com,1059,house,76,73,45783
dyori@bioholding.com,141,"mobile home",72,72,16873
dyori@conecom.com,341,townhome,72,NULL,72569
dyori@ganjaflex.com,1703,townhome,71,72,52004
dyori@iselectrics.com,213,townhome,71,NULL,40010
dyori@stanredtax.com,1662,apartment,70,72,06781
dzane@j-texon.com,588,house,69,73,31320
dzepp@donware.com,1368,house,NULL,75,83320
dzurcher@finjob.com,689,house,NULL,NULL,57301
dzurcher@plexzap.com,488,"mobile home",75,70,69001
dzurcher@rundofase.com,1017,apartment,NULL,71,91795
eagramonte@openlane.com,4424,house,76,73,65555
ealbares@stanredtax.com,1625,house,73,NULL,04774
eamyot@sumace.com,2972,house,70,73,38060
earceo@kan-code.com,635,apartment,72,68,48422
ebaltimore@labdrill.com,406,"mobile home",73,73,30222
ebayless@rundofase.com,657,apartment,75,72,16124
ebergesen@dontechi.com,840,house,74,76,58310
ebergesen@zoomit.com,429,"mobile home",NULL,69,79713
ebirkner@conecom.com,1059,condominium,73,71,75218
ebirkner@sumace.com,678,townhome,73,70,92202
ebitsuie@labdrill.com,1424,condominium,72,NULL,10583
eblackwood@domzoom.com,1519,house,66,NULL,05081
eblunk@cancity.com,905,apartment,72,NULL,24005
eblunk@plusstrip.com,3949,townhome,71,73,44904
eboord@nam-zim.com,503,apartment,76,69,52586
ebreland@konex.com,813,townhome,74,71,72660
ebriddick@ontomedia.com,780,apartment,75,76,12859
ebrideau@conecom.com,166,"mobile home",76,73,03830
ebuemi@plussunin.com,289,"mobile home",73,71,30019
ebuemi@statholdings.com,449,townhome,65,75,84086
ebutt@iselectrics.com,186,condominium,68,71,80259
ecanlas@labdrill.com,868,apartment,71,74,27509
ecantres@blackzim.com,916,apartment,73,75,58759
ecartan@labdrill.com,834,apartment,75,NULL,74440
ecartan@streethex.com,983,apartment,70,NULL,92782
ecaudy@xx-holding.com,1070,house,NULL,75,83223
echui@rangreen.com,177,"mobile home",68,70,66699
echui@stanredtax.com,99,apartment,74,75,53150
ecoody@openlane.com,893,apartment,NULL,NULL,05763
ecoody@treequote.com,2025,condominium,NULL,NULL,75052
ecookey@doncon.com,800,condominium,72,71,59101
ecork@donquadtech.com,597,condominium,74,NULL,40206
ecorrington@opentech.com,1275,house,NULL,73,48050
ecorrio@rundofase.com,423,"mobile home",65,72,54851
ecorrio@yearin.com,705,condominium,65,71,29052
ecousey@condax.com,1056,condominium,73,73,78409
ecoyier@dontechi.com,1540,house,76,74,93239
ecoyier@singletechno.com,817,house,74,74,52408
edarakjy@faxquote.com,1254,townhome,73,NULL,20262
edarakjy@statholdings.com,1222,house,66,73,22724
edegroot@plussunin.com,809,condominium,75,NULL,83214
edelasancha@betatech.com,1354,townhome,NULL,75,35055
edeleo@kan-code.com,958,apartment,NULL,68,24067
edemesa@labdrill.com,1017,apartment,NULL,73,04668
edilello@doncon.com,1066,townhome,74,73,54536
edilliard@warephase.com,1444,house,74,72,35677
edopico@kan-code.com,1268,house,73,73,06856
edubaldi@zumgoity.com,807,apartment,73,72,38197
eduenas@bioplex.com,1114,townhome,70,NULL,86341
eeanes@faxquote.com,1464,house,70,NULL,32523
eehmann@fasehatice.com,619,apartment,71,NULL,07885
eehmann@zotware.com,663,house,74,72,38182
eengelberg@bioholding.com,539,apartment,69,71,54661
eengelberg@inity.com,1852,house,72,74,04418
eengelberg@toughzap.com,742,townhome,67,NULL,38473
eennaco@domzoom.com,588,apartment,72,73,90080
eeroman@yearin.com,3538,townhome,69,72,35116
efarrar@fasehatice.com,1412,house,71,70,67031
efeichtner@rangreen.com,858,condominium,73,75,37885
eferencz@newex.com,245,"mobile home",67,NULL,99670
efern@condax.com,597,house,68,NULL,04650
efillingim@codehow.com,2276,apartment,65,NULL,89712
efrancescon@rundofase.com,1381,apartment,76,70,82922
efrankel@kan-code.com,171,"mobile home",76,NULL,42011
efredicks@zencorporation.com,1423,house,77,NULL,20182
egato@streethex.com,1638,apartment,73,72,02718
egleich@cancity.com,1545,house,NULL,NULL,78161
egotter@rundofase.com,1719,house,71,NULL,12885
egudroe@green-plus.com,1736,house,75,NULL,62017
ehagele@conecom.com,614,apartment,NULL,72,05458
eharoldson@toughzap.com,1275,apartment,75,72,49776
eharoldson@treequote.com,619,house,76,70,57117
ehauenstein@donware.com,1350,apartment,70,74,99030
ehengel@streethex.com,364,"mobile home",65,73,32596
eherritt@ron-tech.com,85,townhome,75,73,73007
ehoffis@groovestreet.com,753,apartment,73,72,60480
ehollack@doncon.com,620,"mobile home",70,68,27534
ehoneywell@doncon.com,1226,house,75,75,83610
ehoopengardner@newex.com,766,apartment,76,72,42633
ehudnall@hottechi.com,1189,apartment,76,75,92369
ejayson@stanredtax.com,714,apartment,76,71,78021
ejeanty@donquadtech.com,949,apartment,70,NULL,23327
ejeanty@donware.com,3516,townhome,71,NULL,68375
ejurney@zotware.com,629,house,71,73,71356
ejuvera@konex.com,678,apartment,75,NULL,23970
ekaniecki@plexzap.com,1295,house,76,74,06493
ekaniecki@rundofase.com,526,condominium,76,71,01071
ekannady@betatech.com,961,condominium,71,74,68418
ekardas@plussunin.com,257,townhome,67,73,23301
ekarpin@domzoom.com,1549,townhome,67,72,53520
ekarpin@lexiqvolax.com,637,townhome,74,NULL,31744
ekeneipp@sunnamplex.com,1061,apartment,72,70,71545
ekippley@singletechno.com,75,apartment,75,NULL,42220
eklusman@zoomit.com,175,"mobile home",67,72,63934
ekohl@konmatfix.com,788,house,NULL,71,95366
ekolmetz@konex.com,2462,townhome,78,73,38382
ekonopacki@plusstrip.com,1144,house,69,NULL,22623
ekonopacki@rangreen.com,1245,apartment,76,NULL,29438
ekonopacki@zumgoity.com,90,townhome,69,72,28025
ekownacki@donquadtech.com,1455,townhome,70,73,21160
ekulzer@toughzap.com,721,apartment,75,NULL,71643
elabreche@hottechi.com,863,apartment,72,NULL,48393
elacovara@ron-tech.com,1260,townhome,72,73,67761
elapage@mathtouch.com,1061,house,78,NULL,47541
elietz@betasoloin.com,1091,house,68,72,61032
elindall@goodsilron.com,156,house,NULL,NULL,54123
elipke@blackzim.com,1797,house,74,76,98930
eloder@domzoom.com,1297,condominium,73,74,65625
elorens@hatfan.com,1764,house,69,75,36916
elorens@inity.com,735,townhome,69,76,47433
eluczki@faxquote.com,806,apartment,73,72,75159
emai@warephase.com,514,apartment,67,NULL,39149
emaybury@hatfan.com,693,condominium,74,72,37722
emcdoniel@green-plus.com,1072,apartment,73,76,54556
emelnyk@dambase.com,2200,house,74,76,63640
ementer@fasehatice.com,561,house,75,74,19172
ementer@zumgoity.com,1007,apartment,66,NULL,58775
emerced@silis.com,508,apartment,NULL,NULL,47124
emodzelewski@donquadtech.com,788,"mobile home",76,72,55041
emodzelewski@scotfind.com,1307,townhome,74,NULL,40110
emonterrubio@iselectrics.com,698,house,74,72,55340
emorocco@condax.com,1321,townhome,NULL,74,43083
emoyd@dambase.com,2017,townhome,76,72,02154
emugnolo@scottech.com,807,townhome,69,74,02762
emulqueen@stanredtax.com,1057,house,NULL,70,28411
emyricks@betatech.com,1129,house,71,73,68944
emyricks@dalttechnology.com,755,condominium,77,69,52728
enievas@rundofase.com,1174,townhome,73,72,16636
enunlee@dalttechnology.com,1783,apartment,76,71,12240
eogg@singletechno.com,759,townhome,74,75,33305
eoldroyd@dalttechnology.com,976,condominium,67,75,86023
eoles@sonron.com,1136,apartment,71,68,54171
epaa@zumgoity.com,1175,townhome,70,NULL,37394
epagliuca@singletechno.com,512,condominium,NULL,72,11020
epapasergi@zotware.com,141,house,NULL,NULL,90610
eparvis@funholding.com,89,apartment,70,74,59241
epedrozo@condax.com,73,"mobile home",75,NULL,04955
eperez@goodsilron.com,1433,apartment,70,NULL,59348
eperez@newex.com,1010,condominium,76,70,59441
eperigo@iselectrics.com,1233,townhome,72,NULL,58644
eperin@fasehatice.com,1499,apartment,NULL,73,35292
eperin@golddex.com,1443,apartment,72,74,10173
eplumer@kinnamplus.com,1060,apartment,68,NULL,52146
epolidori@rantouch.com,526,"mobile home",68,71,45112
epontoriero@rundofase.com,1941,house,70,NULL,92086
epoquette@codehow.com,248,"mobile home",75,73,32936
epoullion@inity.com,167,house,73,NULL,25514
eragel@yearin.com,907,house,NULL,73,36202
eraymo@plussunin.com,501,apartment,71,74,77538
eregusters@dalttechnology.com,544,condominium,74,70,00607
ereiber@zathunicon.com,3532,house,76,75,40488
erentfro@codehow.com,1117,apartment,NULL,73,11025
erestrepo@xx-holding.com,587,townhome,77,NULL,08347
erhymes@faxquote.com,865,apartment,76,NULL,61434
eriden@stanredtax.com,81,apartment,71,NULL,92554
erim@sunnamplex.com,934,townhome,71,74,20033
erim@zathunicon.com,975,house,69,72,71960
erodeigues@toughzap.com,927,townhome,75,73,02070
erodenberger@betasoloin.com,1185,apartment,NULL,NULL,53954
erowling@xx-holding.com,962,townhome,76,NULL,71306
erulapaugh@dontechi.com,863,house,72,72,78721
erulapaugh@groovestreet.com,2003,house,69,NULL,53045
erulapaugh@silis.com,2077,apartment,69,NULL,04640
esamara@xx-holding.com,1345,house,66,75,77853
esaras@fasehatice.com,1138,condominium,68,NULL,07646
esaras@funholding.com,1186,apartment,NULL,NULL,50398
esaras@y-corporation.com,1199,townhome,73,72,21075
esaulter@iselectrics.com,1202,townhome,66,NULL,06043
eschemmer@zoomit.com,740,house,71,73,15622
eschieler@y-corporation.com,1912,apartment,76,70,25962
eschmaltz@streethex.com,69,house,75,70,55144
eschnitzler@zoomit.com,1122,house,72,74,68313
eschoeneck@warephase.com,1372,townhome,NULL,70,38778
esemidey@dontechi.com,2226,house,NULL,72,20418
esengbusch@betasoloin.com,1910,house,72,74,65623
esergi@newex.com,745,townhome,NULL,73,61019
esimilton@blackzim.com,960,apartment,77,75,48363
eskursky@singletechno.com,1343,house,71,72,60706
espickerman@gogozoom.com,1303,apartment,74,73,27916
espringe@rantouch.com,1275,townhome,69,NULL,08887
estaback@silis.com,2539,house,71,NULL,63655
estaback@stanredtax.com,998,apartment,76,74,14107
esteier@newex.com,265,house,73,NULL,62079
estem@labdrill.com,567,townhome,67,NULL,65898
estem@zoomit.com,398,"mobile home",76,75,27101
estenseth@statholdings.com,1981,house,67,73,84021
estimmel@stanredtax.com,160,townhome,70,69,63871
esuffield@groovestreet.com,305,apartment,72,74,08061
eswayze@sunnamplex.com,1509,house,64,NULL,88221
esweely@labdrill.com,623,condominium,73,73,33538
etegarden@plexzap.com,1083,condominium,NULL,74,75009
etheodorov@sumace.com,913,townhome,71,NULL,07175
ethreets@xx-holding.com,1180,house,67,75,31002
ethyberg@rangreen.com,642,house,67,74,29944
ethyberg@xx-zobam.com,2193,condominium,70,73,62052
etillotson@ron-tech.com,2101,townhome,NULL,74,18070
etoelkes@kinnamplus.com,681,townhome,72,72,50392
etolfree@treequote.com,1162,apartment,NULL,70,46040
etollner@opentech.com,1684,house,64,71,24486
etoyama@y-corporation.com,670,apartment,73,NULL,12302
etreston@cancity.com,1149,townhome,78,70,33443
etromblay@sonron.com,891,townhome,65,71,50647
eupthegrove@zumgoity.com,1935,townhome,77,NULL,78721
evarriano@nam-zim.com,893,townhome,70,72,65211
evillanueva@hottechi.com,1083,condominium,75,75,77343
evillanueva@labdrill.com,60,apartment,71,69,23810
evillanueva@scottech.com,413,apartment,NULL,72,16602
evocelka@opentech.com,1872,house,78,75,16159
ewalthall@betasoloin.com,767,apartment,78,71,00640
ewardrip@ontomedia.com,1454,house,NULL,73,02715
ewaymire@singletechno.com,1383,house,69,73,46511
ewide@groovestreet.com,2464,house,75,74,55331
ewolny@year-job.com,1154,apartment,74,72,02216
eyaw@treequote.com,1036,condominium,73,76,28305
eyum@plusstrip.com,489,apartment,71,71,45382
ezagen@doncon.com,3214,house,73,69,21275
ezagen@silis.com,580,apartment,74,75,05662
ezane@labdrill.com,958,apartment,NULL,75,77708
ezepp@zathunicon.com,689,house,76,NULL,62992
fabdallah@y-corporation.com,573,house,68,71,05833
fagramonte@fasehatice.com,143,townhome,70,72,53725
fandreason@kinnamplus.com,1175,house,72,74,35978
fankeny@year-job.com,479,"mobile home",70,NULL,13838
farceo@bioplex.com,2078,house,70,NULL,76460
fauber@j-texon.com,110,house,72,75,89438
fbarfield@y-corporation.com,1425,house,75,71,06320
fbartolet@rundofase.com,1425,house,70,70,54149
fbartolet@xx-zobam.com,481,"mobile home",66,NULL,93291
fbirkner@streethex.com,517,condominium,NULL,75,61342
fbitsuie@finhigh.com,1345,house,65,71,39110
fbitsuie@inity.com,800,house,75,NULL,06517
fbriddick@bioplex.com,71,townhome,77,NULL,15758
fbrossart@toughzap.com,1843,house,70,74,37659
fbubash@nam-zim.com,1072,apartment,68,NULL,92083
fbuzick@hatfan.com,659,house,73,71,35031
fcallaro@groovestreet.com,732,townhome,74,73,40808
fcampain@mathtouch.com,327,"mobile home",75,73,05776
fcaudy@newex.com,1791,townhome,69,72,22185
fcetta@lexiqvolax.com,523,apartment,67,75,45622
fchaffins@xx-holding.com,2180,house,NULL,70,46283
fchaffins@zathunicon.com,2557,house,73,72,42410
fchui@conecom.com,3055,house,71,NULL,36422
fcloney@rantouch.com,1154,house,69,68,40488
fcolaizzo@green-plus.com,723,house,76,74,53572
fcolla@statholdings.com,1737,house,NULL,74,60639
fcomnick@plusstrip.com,1636,apartment,70,NULL,56037
fcookey@rangreen.com,887,house,77,70,61942
fcorrio@plussunin.com,640,townhome,75,NULL,24352
fdegonia@blackzim.com,967,house,74,71,29056
fdenooyer@newex.com,1484,condominium,68,NULL,48234
fdinos@yearin.com,690,house,76,NULL,64751
fdopico@statholdings.com,2011,house,73,76,24557
fdrymon@statholdings.com,543,apartment,69,76,52308
fduenas@labdrill.com,700,house,NULL,NULL,08850
fduenas@treequote.com,96,house,NULL,75,67216
fennaco@mathtouch.com,994,apartment,NULL,71,84717
fennaco@toughzap.com,1535,house,68,75,22211
feroman@newex.com,1408,apartment,72,NULL,83126
feschberger@fasehatice.com,1133,condominium,72,72,12575
ffern@fasehatice.com,133,apartment,69,72,21790
ffigeroa@isdom.com,946,apartment,65,70,18471
ffigeroa@lexiqvolax.com,2135,condominium,74,74,95123
ffishburne@groovestreet.com,649,house,73,NULL,20164
fflister@ganjaflex.com,1542,house,70,72,67574
ffortino@faxquote.com,968,apartment,78,73,10179
ffrankel@green-plus.com,1235,house,70,72,11726
ffrankel@kan-code.com,516,condominium,77,73,51462
ffredicks@ganjaflex.com,1563,apartment,74,71,85254
ffunnell@j-texon.com,1365,condominium,74,NULL,43545
fgabisi@ontomedia.com,1636,apartment,NULL,71,82834
fgood@mathtouch.com,2163,house,71,72,36125
fgrenet@konmatfix.com,3051,condominium,67,71,84732
fhamilton@golddex.com,427,"mobile home",69,NULL,91184
fharabedian@funholding.com,1963,house,69,NULL,29601
fharabedian@xx-zobam.com,862,apartment,69,74,43140
fharnos@groovestreet.com,151,house,69,71,01854
fharoldson@sonron.com,2960,townhome,70,70,18942
fhaufler@donquadtech.com,3239,house,74,71,30734
fherritt@singletechno.com,1454,house,75,74,36047
fhixenbaugh@treequote.com,652,apartment,NULL,69,15953
fhoffis@nam-zim.com,1130,condominium,74,72,15849
fhollack@sonron.com,752,apartment,71,NULL,72863
fhughey@green-plus.com,957,apartment,NULL,72,55443
finouye@y-corporation.com,980,apartment,NULL,72,48316
fisenhower@betasoloin.com,1214,apartment,NULL,NULL,20543
fjeanty@domzoom.com,85,house,NULL,NULL,25844
fjurney@isdom.com,352,"mobile home",73,73,83604
fjuvera@kinnamplus.com,443,apartment,72,76,90302
fkaniecki@plussunin.com,476,apartment,NULL,74,70062
fkannady@treequote.com,1171,townhome,73,72,22738
fkines@iselectrics.com,87,townhome,66,71,76523
fklang@cancity.com,2504,townhome,71,71,37351
fklang@ganjaflex.com,520,apartment,67,73,01374
fkohnert@condax.com,2843,townhome,66,69,07981
fkolmetz@xx-holding.com,998,apartment,70,72,66227
fkusko@bioholding.com,597,apartment,NULL,NULL,93308
flary@doncon.com,1338,house,NULL,74,41645
flatzke@mathtouch.com,1331,house,73,NULL,81416
fleto@isdom.com,839,apartment,NULL,NULL,14034
fleto@sumace.com,455,apartment,68,75,95669
fliukko@toughzap.com,112,townhome,75,74,15456
flizama@dontechi.com,1966,townhome,66,70,47722
floder@openlane.com,737,house,74,73,79064
florens@lexiqvolax.com,731,house,71,72,63441
florens@y-corporation.com,1293,apartment,67,70,06877
flukasik@hatfan.com,176,house,75,NULL,72865
fmaillard@codehow.com,933,condominium,71,NULL,18433
fmalet@sunnamplex.com,740,condominium,71,NULL,95463
fmarrier@condax.com,1647,house,69,73,29850
fmaybury@plusstrip.com,337,apartment,69,NULL,18447
fmcdoniel@hatfan.com,96,condominium,73,68,21865
fmconnell@treequote.com,1615,apartment,74,74,41238
fmcrae@condax.com,721,house,74,74,62973
fmerced@iselectrics.com,1118,condominium,69,72,24324
fmerced@konmatfix.com,1692,condominium,77,71,63363
fmirafuentes@domzoom.com,52,condominium,69,72,24854
fmodzelewski@conecom.com,985,apartment,71,NULL,56591
fmondella@dambase.com,1724,house,76,74,53946
fmorasca@domzoom.com,1226,house,73,74,10112
fmulqueen@donquadtech.com,665,house,74,72,47801
fnayar@lexiqvolax.com,104,condominium,66,NULL,43357
fneither@statholdings.com,1028,apartment,NULL,NULL,30108
fnewville@bioplex.com,983,townhome,73,72,31914
fnewville@cancity.com,1992,apartment,NULL,71,48865
fnunlee@dalttechnology.com,2398,house,72,72,19893
fohms@zumgoity.com,1241,apartment,68,73,44833
fonofrio@inity.com,3064,apartment,66,NULL,50658
fpaskin@sumace.com,1021,apartment,68,72,56046
fpatak@bioplex.com,1496,house,76,NULL,48176
fpaulas@ron-tech.com,603,apartment,76,73,23408
fpedrozo@bioholding.com,97,townhome,74,72,78067
fpedrozo@domzoom.com,960,house,73,NULL,19371
fpedrozo@rundofase.com,749,apartment,75,NULL,45867
fpelkowski@sumace.com,582,apartment,75,72,46502
fperruzza@codehow.com,1539,apartment,77,73,58507
fpontoriero@ron-tech.com,191,"mobile home",65,71,65470
fpoquette@conecom.com,460,apartment,73,72,91896
fpoquette@rantouch.com,554,apartment,73,76,24986
fpoullion@iselectrics.com,1253,townhome,74,69,16738
freiber@ganjaflex.com,1675,apartment,76,72,28770
frentfro@donware.com,216,house,75,NULL,48616
frowling@doncon.com,739,house,76,72,78565
frulapaugh@finjob.com,758,house,75,74,06334
frulapaugh@stanredtax.com,1475,townhome,74,74,54670
frulapaugh@streethex.com,1570,house,75,72,28672
fscriven@streethex.com,1731,house,72,72,84784
fseewald@condax.com,1669,house,77,70,62061
fseewald@goodsilron.com,505,apartment,69,74,06269
fshealy@labdrill.com,1555,townhome,75,76,24829
fshin@ganjaflex.com,389,apartment,72,74,65611
fshinko@iselectrics.com,1645,house,78,NULL,46170
fsilvestrini@scotfind.com,178,"mobile home",75,73,33624
fsimilton@toughzap.com,2780,house,75,71,94252
fslusarski@dalttechnology.com,2976,house,71,69,65560
fstem@isdom.com,1263,house,NULL,NULL,94662
fstem@zotware.com,1365,apartment,NULL,73,99346
fstorment@rundofase.com,1415,apartment,76,NULL,23038
fstrassner@bioholding.com,980,apartment,71,72,64865
ftawil@doncon.com,1250,condominium,75,NULL,59701
ftimenez@isdom.com,697,house,67,69,79342
ftimenez@y-corporation.com,366,apartment,70,69,91301
ftoelkes@zotware.com,1180,townhome,78,72,03278
ftolfree@sunnamplex.com,795,apartment,69,72,40282
ftomasulo@ron-tech.com,161,apartment,76,73,55716
fvocelka@conecom.com,387,apartment,75,NULL,92309
fwalthall@ganjaflex.com,1738,"mobile home",70,NULL,61576
fwaycott@betatech.com,933,townhome,NULL,NULL,86018
fweight@plussunin.com,62,apartment,75,NULL,28434
fwenner@j-texon.com,946,townhome,73,74,45601
fwhobrey@plussunin.com,914,house,75,NULL,80476
fwhobrey@streethex.com,2019,house,NULL,NULL,32776
fwiklund@groovestreet.com,464,"mobile home",64,73,32170
fwildfong@inity.com,735,condominium,74,NULL,33713
fwitten@rantouch.com,601,apartment,66,NULL,74463
fwolny@yearin.com,993,house,70,72,81015
fworlds@stanredtax.com,952,condominium,78,69,59262
fyori@opentech.com,213,condominium,76,73,65299
fzagen@donquadtech.com,1122,townhome,NULL,72,49565
gamyot@finjob.com,1665,house,NULL,NULL,23878
gamyot@nam-zim.com,475,apartment,NULL,NULL,55347
gandreason@conecom.com,657,townhome,74,71,57274
gankeny@rundofase.com,510,apartment,74,73,66012
garceo@funholding.com,866,townhome,71,71,37939
garceo@labdrill.com,818,apartment,70,NULL,27019
garceo@treequote.com,1242,condominium,76,72,20061
